deces_annee,sexe,deces_dep,n
2001,2,49,1
2001,2,60,1
2001,2,64,1
2001,2,65,1
2001,2,66,1
2001,2,NA,33
2002,1,13,1
2002,1,33,1
2002,1,37,1
2002,1,63,1
2002,1,92,1
2002,1,973,1
2002,1,NA,29
2002,2,11,1
2002,2,26,1
2002,2,30,1
2002,2,38,1
2002,2,39,1
2002,2,56,1
2002,2,69,3
2002,2,75,1
2002,2,78,1
2002,2,80,1
2002,2,81,1
2002,2,86,1
2002,2,94,2
2002,2,972,1
2002,2,974,2
2002,2,NA,37
2003,1,07,2
2003,1,2B,1
2003,1,61,1
2003,1,69,1
2003,1,75,1
2003,1,NA,33
2003,2,67,1
2003,2,93,1
2003,2,974,1
2003,2,NA,29
2004,1,07,1
2004,1,976,1
2004,1,NA,28
2004,2,38,1
2004,2,78,1
2004,2,80,1
2004,2,83,1
2004,2,84,2
2004,2,974,2
2004,2,976,1
2004,2,NA,22
2005,1,06,1
2005,1,35,1
2005,1,65,1
2005,1,89,1
2005,1,92,1
2005,1,NA,37
2005,2,30,1
2005,2,39,1
2005,2,73,1
2005,2,NA,19
2006,1,04,1
2006,1,17,1
2006,1,NA,38
2006,2,13,2
2006,2,33,1
2006,2,67,1
2006,2,69,1
2006,2,NA,17
2007,1,14,1
2007,1,32,1
2007,1,61,1
2007,1,80,1
2007,1,88,1
2007,1,974,2
2007,1,NA,36
2007,2,40,1
2007,2,NA,17
2008,1,34,1
2008,1,64,1
2008,1,80,2
2008,1,83,1
2008,1,NA,41
2008,2,33,1
2008,2,40,1
2008,2,62,1
2008,2,75,1
2008,2,76,1
2008,2,80,1
2008,2,83,2
2008,2,91,1
2008,2,972,1
2008,2,974,1
2008,2,976,1
2008,2,NA,33
2009,1,34,1
2009,1,75,1
2009,1,92,1
2009,1,976,1
2009,1,NA,50
2009,2,76,1
2009,2,80,1
2009,2,95,2
2009,2,NA,30
2010,1,,1
2010,1,11,1
2010,1,31,1
2010,1,39,1
2010,1,56,1
2010,1,74,1
2010,1,83,1
2010,1,974,1
2010,1,976,2
2010,1,NA,64
2010,2,09,1
2010,2,24,1
2010,2,27,1
2010,2,60,1
2010,2,84,1
2010,2,971,1
2010,2,972,1
2010,2,974,2
2010,2,976,1
2010,2,NA,24
2011,1,06,1
2011,1,13,1
2011,1,29,1
2011,1,33,1
2011,1,34,2
2011,1,75,1
2011,1,78,1
2011,1,80,1
2011,1,92,1
2011,1,972,1
2011,1,NA,58
2011,2,29,1
2011,2,42,3
2011,2,65,1
2011,2,69,2
2011,2,87,1
2011,2,974,1
2011,2,NA,34
2012,1,01,2
2012,1,13,1
2012,1,22,1
2012,1,29,1
2012,1,30,2
2012,1,33,1
2012,1,45,1
2012,1,65,2
2012,1,72,1
2012,1,80,1
2012,1,83,1
2012,1,93,1
2012,1,95,1
2012,1,973,1
2012,1,976,3
2012,1,NA,72
2012,2,06,1
2012,2,27,1
2012,2,2B,1
2012,2,33,1
2012,2,37,1
2012,2,38,1
2012,2,47,1
2012,2,51,1
2012,2,92,1
2012,2,94,1
2012,2,972,1
2012,2,NA,55
2013,1,17,2
2013,1,26,1
2013,1,2B,1
2013,1,34,1
2013,1,46,1
2013,1,57,1
2013,1,67,2
2013,1,68,1
2013,1,71,1
2013,1,75,1
2013,1,89,1
2013,1,91,1
2013,1,94,2
2013,1,973,1
2013,1,976,1
2013,1,NA,84
2013,2,09,1
2013,2,18,1
2013,2,34,1
2013,2,38,1
2013,2,40,1
2013,2,42,1
2013,2,66,1
2013,2,69,1
2013,2,80,1
2013,2,81,1
2013,2,89,2
2013,2,91,1
2013,2,93,1
2013,2,971,1
2013,2,NA,50
2014,1,03,1
2014,1,09,3
2014,1,10,1
2014,1,11,1
2014,1,13,2
2014,1,14,2
2014,1,16,1
2014,1,18,1
2014,1,19,2
2014,1,21,1
2014,1,27,1
2014,1,31,4
2014,1,32,1
2014,1,33,2
2014,1,34,2
2014,1,39,1
2014,1,41,1
2014,1,42,1
2014,1,44,1
2014,1,59,1
2014,1,62,4
2014,1,65,3
2014,1,73,1
2014,1,77,1
2014,1,78,2
2014,1,80,3
2014,1,84,1
2014,1,89,3
2014,1,94,2
2014,1,974,1
2014,1,976,1
2014,1,NA,117
2014,2,02,1
2014,2,03,1
2014,2,09,1
2014,2,10,1
2014,2,12,1
2014,2,17,4
2014,2,21,1
2014,2,23,1
2014,2,27,1
2014,2,31,2
2014,2,32,2
2014,2,33,1
2014,2,34,1
2014,2,38,1
2014,2,50,1
2014,2,59,1
2014,2,62,2
2014,2,63,1
2014,2,65,7
2014,2,69,1
2014,2,70,1
2014,2,76,2
2014,2,77,1
2014,2,78,1
2014,2,80,1
2014,2,86,1
2014,2,92,1
2014,2,972,1
2014,2,973,1
2014,2,976,1
2014,2,NA,88
2015,1,07,1
2015,1,08,2
2015,1,09,1
2015,1,10,1
2015,1,13,2
2015,1,14,3
2015,1,16,1
2015,1,17,1
2015,1,19,1
2015,1,25,1
2015,1,27,1
2015,1,28,1
2015,1,2B,1
2015,1,31,1
2015,1,33,1
2015,1,39,1
2015,1,42,1
2015,1,44,1
2015,1,47,1
2015,1,49,1
2015,1,51,1
2015,1,59,1
2015,1,60,2
2015,1,61,1
2015,1,62,4
2015,1,66,1
2015,1,67,1
2015,1,69,1
2015,1,74,2
2015,1,76,1
2015,1,80,1
2015,1,88,1
2015,1,91,2
2015,1,94,2
2015,1,971,1
2015,1,NA,164
2015,2,,1
2015,2,04,1
2015,2,05,1
2015,2,13,1
2015,2,17,1
2015,2,21,1
2015,2,23,2
2015,2,33,1
2015,2,34,1
2015,2,37,1
2015,2,39,1
2015,2,44,1
2015,2,45,1
2015,2,49,1
2015,2,54,1
2015,2,59,1
2015,2,62,3
2015,2,64,1
2015,2,65,1
2015,2,66,1
2015,2,77,1
2015,2,79,1
2015,2,80,1
2015,2,86,1
2015,2,89,1
2015,2,92,1
2015,2,973,3
2015,2,974,2
2015,2,NA,105
2016,1,02,1
2016,1,03,1
2016,1,06,5
2016,1,09,1
2016,1,11,1
2016,1,13,3
2016,1,17,1
2016,1,18,1
2016,1,19,1
2016,1,23,2
2016,1,25,1
2016,1,30,1
2016,1,31,4
2016,1,32,1
2016,1,33,1
2016,1,34,2
2016,1,37,2
2016,1,38,3
2016,1,39,1
2016,1,45,4
2016,1,46,1
2016,1,49,2
2016,1,50,1
2016,1,52,1
2016,1,55,1
2016,1,56,1
2016,1,57,1
2016,1,59,2
2016,1,60,4
2016,1,62,5
2016,1,68,3
2016,1,69,2
2016,1,74,1
2016,1,75,10
2016,1,77,1
2016,1,79,1
2016,1,80,2
2016,1,81,1
2016,1,82,1
2016,1,83,2
2016,1,85,2
2016,1,89,1
2016,1,91,2
2016,1,92,1
2016,1,93,1
2016,1,94,2
2016,1,95,2
2016,1,972,3
2016,1,973,3
2016,1,976,9
2016,1,NA,263
2016,2,03,1
2016,2,06,2
2016,2,07,1
2016,2,09,2
2016,2,11,2
2016,2,13,3
2016,2,17,3
2016,2,18,1
2016,2,24,1
2016,2,25,1
2016,2,26,1
2016,2,28,1
2016,2,30,1
2016,2,31,5
2016,2,33,2
2016,2,34,1
2016,2,37,2
2016,2,38,1
2016,2,45,1
2016,2,49,3
2016,2,51,1
2016,2,54,1
2016,2,56,1
2016,2,57,1
2016,2,59,4
2016,2,60,1
2016,2,62,2
2016,2,67,1
2016,2,74,2
2016,2,75,4
2016,2,79,1
2016,2,82,1
2016,2,87,1
2016,2,91,1
2016,2,92,2
2016,2,94,2
2016,2,95,3
2016,2,973,1
2016,2,974,3
2016,2,976,3
2016,2,NA,170
2017,1,,26
