deces_annee,sexe,age,deces_dep,n
1998,2,55,NA,1
1998,2,64,NA,1
1998,2,70,NA,1
1998,2,83,NA,2
1998,2,84,59,1
1998,2,85,NA,1
1998,2,87,NA,1
1998,2,88,972,1
1998,2,88,973,1
1998,2,92,NA,1
1998,2,93,69,1
1998,2,94,69,1
1999,1,21,80,1
1999,1,24,NA,1
1999,1,36,NA,1
1999,1,37,NA,1
1999,1,39,NA,2
1999,1,43,NA,2
1999,1,51,NA,1
1999,1,52,NA,1
1999,1,55,NA,1
1999,1,56,NA,2
1999,1,59,34,1
1999,1,61,NA,1
1999,1,65,NA,1
1999,1,69,NA,1
1999,1,70,NA,1
1999,1,76,NA,2
1999,1,79,NA,1
1999,1,80,NA,1
1999,1,81,06,1
1999,1,81,974,1
1999,1,83,NA,1
1999,1,86,34,1
1999,1,86,69,1
1999,1,86,NA,1
1999,1,91,38,1
1999,1,92,974,1
1999,1,93,66,1
1999,2,11,NA,1
1999,2,19,974,1
1999,2,30,NA,1
1999,2,35,971,1
1999,2,42,NA,1
1999,2,51,NA,1
1999,2,63,NA,1
1999,2,69,NA,1
1999,2,71,NA,1
1999,2,74,974,1
1999,2,76,NA,1
1999,2,79,974,1
1999,2,79,NA,1
1999,2,80,NA,1
1999,2,81,34,1
1999,2,81,974,1
1999,2,82,971,1
1999,2,83,971,1
1999,2,84,NA,1
1999,2,85,13,1
1999,2,85,NA,1
1999,2,86,06,1
1999,2,89,94,1
1999,2,90,13,1
1999,2,90,18,1
1999,2,90,69,1
1999,2,91,13,1
1999,2,91,69,1
1999,2,92,69,1
1999,2,95,60,1
2000,1,0,NA,1
2000,1,1,NA,1
2000,1,25,NA,1
2000,1,26,NA,1
2000,1,28,NA,1
2000,1,29,95,1
2000,1,32,NA,1
2000,1,35,31,1
2000,1,35,NA,1
2000,1,40,NA,1
2000,1,41,972,1
2000,1,42,NA,1
2000,1,46,NA,1
2000,1,50,NA,2
2000,1,57,NA,1
2000,1,62,NA,1
2000,1,70,NA,1
2000,1,72,NA,1
2000,1,77,2A,1
2000,1,80,33,2
2000,1,80,974,1
2000,1,81,974,1
2000,1,81,NA,1
2000,1,82,NA,1
2000,1,83,NA,1
2000,1,86,06,1
2000,1,87,69,1
2000,1,87,NA,1
2000,1,88,06,1
2000,1,89,06,1
2000,1,90,17,1
2000,1,90,92,1
2000,1,90,NA,2
2000,1,92,NA,1
2000,1,95,NA,1
2000,2,3,42,1
2000,2,23,NA,1
2000,2,55,NA,1
2000,2,66,NA,1
2000,2,69,NA,1
2000,2,74,80,1
2000,2,74,NA,1
2000,2,75,NA,1
2000,2,76,NA,1
2000,2,80,NA,1
2000,2,81,974,1
2000,2,81,NA,2
2000,2,83,NA,2
2000,2,84,NA,1
2000,2,85,42,1
2000,2,85,974,1
2000,2,85,NA,3
2000,2,86,06,1
2000,2,86,NA,2
2000,2,87,NA,1
2000,2,89,974,1
2000,2,89,NA,4
2000,2,90,59,1
2000,2,90,NA,1
2000,2,91,06,1
2000,2,91,974,1
2000,2,91,NA,2
2000,2,92,11,1
2000,2,92,69,1
2000,2,92,NA,2
2000,2,93,61,1
2000,2,94,974,2
2000,2,95,NA,1
2000,2,96,NA,1
2000,2,99,06,1
2001,1,12,06,1
2001,1,24,NA,1
2001,1,43,NA,1
2001,1,46,NA,1
2001,1,51,NA,1
2001,1,53,31,1
2001,1,53,NA,1
2001,1,54,NA,1
2001,1,55,NA,1
2001,1,56,NA,1
2001,1,58,NA,1
2001,1,59,NA,3
2001,1,60,NA,1
2001,1,61,34,1
2001,1,61,NA,1
2001,1,65,NA,1
2001,1,71,NA,1
2001,1,77,80,1
2001,1,77,NA,3
2001,1,78,NA,1
2001,1,82,NA,1
2001,1,84,13,1
2001,1,88,NA,1
2001,1,90,NA,2
2001,1,91,92,1
2001,1,92,66,1
2001,2,1,NA,1
2001,2,30,NA,1
2001,2,36,NA,1
2001,2,55,NA,1
2001,2,58,NA,1
2001,2,61,49,1
2001,2,61,NA,1
2001,2,68,NA,1
2001,2,71,NA,1
2001,2,75,34,1
2001,2,76,NA,1
2001,2,77,NA,1
2001,2,80,NA,2
2001,2,81,65,1
2001,2,81,NA,2
2001,2,82,NA,1
2001,2,83,NA,1
2001,2,86,NA,5
2001,2,87,06,1
2001,2,87,66,1
2001,2,87,NA,3
2001,2,88,06,1
2001,2,88,NA,1
2001,2,89,NA,1
2001,2,91,60,1
2001,2,91,NA,3
2001,2,92,NA,3
2001,2,97,64,1
2001,2,99,NA,1
2002,1,0,NA,1
2002,1,28,NA,1
2002,1,29,NA,1
2002,1,30,NA,1
2002,1,32,NA,1
2002,1,35,NA,1
2002,1,36,NA,1
2002,1,41,NA,1
2002,1,45,NA,1
2002,1,53,NA,2
2002,1,54,NA,1
2002,1,56,973,1
2002,1,58,NA,1
2002,1,59,NA,1
2002,1,60,NA,1
2002,1,62,NA,1
2002,1,63,NA,1
2002,1,64,NA,1
2002,1,68,NA,1
2002,1,72,NA,1
2002,1,73,NA,1
2002,1,74,NA,1
2002,1,81,NA,1
2002,1,83,33,1
2002,1,84,NA,1
2002,1,85,37,1
2002,1,86,NA,2
2002,1,87,13,1
2002,1,87,63,1
2002,1,90,92,1
2002,1,90,NA,2
2002,1,94,NA,1
2002,2,27,NA,1
2002,2,30,86,1
2002,2,32,NA,1
2002,2,37,NA,1
2002,2,43,NA,2
2002,2,46,NA,1
2002,2,47,NA,1
2002,2,50,NA,2
2002,2,54,972,1
2002,2,55,NA,1
2002,2,56,NA,1
2002,2,59,NA,1
2002,2,60,NA,1
2002,2,62,NA,1
2002,2,70,80,1
2002,2,73,NA,1
2002,2,76,NA,1
2002,2,78,NA,1
2002,2,82,78,1
2002,2,82,81,1
2002,2,82,NA,4
2002,2,83,94,1
2002,2,84,NA,1
2002,2,85,69,1
2002,2,85,NA,1
2002,2,86,NA,1
2002,2,87,974,1
2002,2,87,NA,2
2002,2,88,NA,4
2002,2,89,39,1
2002,2,89,56,1
2002,2,89,NA,2
2002,2,90,30,1
2002,2,90,75,1
2002,2,91,94,1
2002,2,91,NA,1
2002,2,92,26,1
2002,2,92,NA,2
2002,2,93,974,1
2002,2,94,69,1
2002,2,95,11,1
2002,2,96,NA,1
2002,2,97,38,1
2002,2,97,NA,1
2002,2,99,69,1
2003,1,0,NA,1
2003,1,16,NA,1
2003,1,20,NA,1
2003,1,22,NA,1
2003,1,28,NA,2
2003,1,29,69,1
2003,1,29,NA,2
2003,1,31,NA,1
2003,1,40,NA,1
2003,1,45,NA,1
2003,1,47,NA,2
2003,1,52,NA,1
2003,1,55,NA,1
2003,1,58,NA,1
2003,1,61,NA,1
2003,1,63,NA,2
2003,1,64,NA,1
2003,1,65,NA,1
2003,1,66,07,1
2003,1,67,NA,1
2003,1,68,NA,1
2003,1,69,NA,1
2003,1,70,07,1
2003,1,70,NA,1
2003,1,73,NA,2
2003,1,74,NA,1
2003,1,79,NA,1
2003,1,82,NA,1
2003,1,83,NA,1
2003,1,86,NA,1
2003,1,88,61,1
2003,1,90,2B,1
2003,1,91,75,1
2003,1,91,NA,1
2003,2,29,NA,1
2003,2,39,NA,2
2003,2,48,NA,1
2003,2,51,NA,1
2003,2,55,NA,1
2003,2,58,NA,1
2003,2,65,NA,1
2003,2,73,NA,1
2003,2,79,NA,2
2003,2,83,NA,3
2003,2,84,93,1
2003,2,84,NA,2
2003,2,85,NA,2
2003,2,86,NA,1
2003,2,89,NA,1
2003,2,91,NA,2
