SITE	NUMERO_SITE	SEXE	ANNEE	PA	CAS_PRED	CAS_PRED_INF	CAS_PRED_SUP	TSM_I_PRED	TSM_I_PRED_INF	TSM_I_PRED_SUP	TSE_I_PRED	TSE_I_PRED_INF	TSE_I_PRED_SUP	TB_I_PRED	TB_I_PRED_INF	TB_I_PRED_SUP
lmnh	32.00	1	2011	30626399	13519	12976	14085	25.2	24.2	26.2	35.2	33.8	36.7	44.1	42.4	46
lmnh	32.00	1	2012	30782589.5	13807	13246	14387	25.2	24.2	26.3	35.3	33.9	36.8	44.9	43	46.7
lmnh	32.00	1	2013	30945466.5	14102	13524	14704	25.2	24.2	26.3	35.4	33.9	36.9	45.6	43.7	47.5
lmnh	32.00	1	2014	31086155	14410	13810	15039	25.3	24.2	26.4	35.4	34	37	46.4	44.4	48.4
lmnh	32.00	1	2015	31210477	14720	14090	15376	25.3	24.2	26.5	35.5	34	37.1	47.2	45.1	49.3
lmnh	32.00	1	2016	31332989	15027	14368	15718	25.4	24.3	26.6	35.6	34.1	37.3	48	45.9	50.2
lmnh	32.00	1	2017	31446345.5	15345	14650	16074	25.4	24.3	26.7	35.7	34.1	37.4	48.8	46.6	51.1
lmnh	32.00	1	2018	31500281	15536	14806	16299	25.5	24.3	26.7	35.8	34.1	37.5	49.3	47	51.7
lmnh	32.00	2	1990	29102652.5	5803	5540	6078	12	11.4	12.6	16.3	15.5	17.1	19.9	19	20.9
lmnh	32.00	2	1991	29243858.5	6008	5741	6286	12.2	11.7	12.8	16.7	15.9	17.4	20.5	19.6	21.5
lmnh	32.00	2	1992	29384564	6219	5947	6506	12.5	11.9	13.1	17.1	16.3	17.8	21.2	20.2	22.1
lmnh	32.00	2	1993	29509640.5	6440	6157	6735	12.8	12.2	13.4	17.5	16.7	18.3	21.8	20.9	22.8
lmnh	32.00	2	1994	29620022	6665	6373	6972	13.1	12.5	13.7	17.9	17.1	18.7	22.5	21.5	23.5
lmnh	32.00	2	1995	29727493.5	6902	6598	7216	13.4	12.8	14	18.2	17.4	19.1	23.2	22.2	24.3
lmnh	32.00	2	1996	29830389.5	7139	6829	7461	13.6	13	14.3	18.6	17.8	19.5	23.9	22.9	25
lmnh	32.00	2	1997	29931526	7383	7066	7711	13.9	13.3	14.5	19	18.2	19.9	24.7	23.6	25.8
lmnh	32.00	2	1998	30036624.5	7625	7304	7965	14.2	13.6	14.8	19.4	18.6	20.3	25.4	24.3	26.5
lmnh	32.00	2	1999	30191342.5	7884	7550	8230	14.4	13.8	15.1	19.8	18.9	20.6	26.1	25	27.3
