Address,CODGEO,ObservedDeaths,NIVGEO,LIBGEO,NB,ExpectedDeaths,SMR
"27215 Ecquetot, France",27215,1.333333333,COM,Ecquetot,265.2835538,1.97560082,0.674900172
"88311 Montmotier, France",88311,0.333333333,COM,Montmotier,31.02702703,0.493872439,0.674938116
"31400 Nogaret, France",31400,0.666666667,COM,Nogaret,64.97777778,0.987738795,0.674942272
"49371 Vezins, France",49371,8.166666667,COM,Vezins,1112.543222,12.09895618,0.674989358
"67111 Durstel, France",67111,2.833333333,COM,Durstel,286.8820755,4.197362855,0.675027018
"42297 Salvizinet, France",42297,3.666666667,COM,Salvizinet,412.9337979,5.431240291,0.675106692
"76620 Saint-Martin-l'Hortier, France",76620,1.333333333,COM,Saint-Martin-l'Hortier,184.3093525,1.974936924,0.675127047
"35178 Mézières-sur-Couesnon, France",35178,5.5,COM,Mézières-sur-Couesnon,1053.229025,8.146316536,0.675151766
"31486 Saint-Hilaire, France",31486,5.333333333,COM,Saint-Hilaire,839.4162249,7.898772041,0.675210439
"51634 Villers-le-Château, France",51634,1.833333333,COM,Villers-le-Château,203,2.715100009,0.675236023
"79183 Montravers, France",79183,2,COM,Montravers,254.0487805,2.96165408,0.675298312
"76439 Mirville, France",76439,1.666666667,COM,Mirville,216.0877193,2.467878533,0.675343881
"71405 Saint-Didier-en-Bresse, France",71405,1.5,COM,Saint-Didier-en-Bresse,118.5271739,2.22092695,0.675393668
"85199 Saint-Aubin-la-Plaine, France",85199,1.5,COM,Saint-Aubin-la-Plaine,342.2572042,2.220886282,0.675406036
"33190 Goualade, France",33190,0.833333333,COM,Goualade,66.26373626,1.233710288,0.675469226
"43009 Arlet, France",43009,0.166666667,COM,Arlet,13.56521739,0.246719551,0.675530845
"54186 Eulmont, France",54186,4.833333333,COM,Eulmont,699.2562594,7.154792799,0.675537848
"5052 Eygliers, France",5052,4.5,COM,Eygliers,561,6.66059886,0.675614925
"53169 Olivet, France",53169,1.666666667,COM,Olivet,237.7184466,2.466869595,0.675620094
"10208 La Louptière-Thénard, France",10208,1.666666667,COM,La Louptière-Thénard,200.3068966,2.466823597,0.675632692
"11352 Saint-Louis-et-Parahou, France",11352,0.5,COM,Saint-Louis-et-Parahou,44,0.740021581,0.675655971
"28035 Berchères-les-Pierres, France",28035,6,COM,Berchères-les-Pierres,643.3855504,8.880189135,0.675661285
"69200 Saint-Forgeux, France",69200,6.833333333,COM,Saint-Forgeux,954.6893664,10.11304017,0.675695262
"44100 Monnières, France",44100,7.166666667,COM,Monnières,1413.886442,10.60409597,0.675839476
"76622 Saint-Maurice-d'Ételan, France",76622,1.5,COM,Saint-Maurice-d'Ételan,228.5083056,2.219346598,0.675874603
"26112 Curnier, France",26112,1,COM,Curnier,141.0304569,1.479546509,0.675882775
"90012 Bessoncourt, France",90012,5.5,COM,Bessoncourt,825.1920123,8.137251017,0.675903937
"5108 Puy-Saint-Eusèbe, France",5108,1,COM,Puy-Saint-Eusèbe,94.89502762,1.479366264,0.675965124
"31293 Lespinasse, France",31293,9.333333333,COM,Lespinasse,1782.182815,13.80728074,0.675971866
"8028 Aubrives, France",8028,5.166666667,COM,Aubrives,584.7474542,7.642758661,0.676021172
"2B252 Pruno, France",2B252,1.333333333,COM,Pruno,128.136612,1.9723069,0.676027313
"28374 Serazereux, France",28374,1.833333333,COM,Serazereux,346.4473811,2.71183216,0.676049706
"17350 Saint-Julien-de-l'Escap, France",17350,14.83333333,COM,Saint-Julien-de-l'Escap,766.7962963,21.93984275,0.676091142
"21128 Chailly-sur-Armançon, France",21128,1.833333333,COM,Chailly-sur-Armançon,169.3061224,2.711652197,0.676094573
"62179 Brunembert, France",62179,1.5,COM,Brunembert,255.5487678,2.218456306,0.676145839
"39302 Louvatange, France",39302,0.5,COM,Louvatange,63,0.739357755,0.676262603
"92076 Vaucresson, France",92076,62.83333333,COM,Vaucresson,5714.345504,92.90476348,0.676319824
"16180 Laprade, France",16180,2.5,COM,Laprade,189,3.696454777,0.676323708
