Address,CODGEO,ObservedDeaths,NIVGEO,LIBGEO,NB,ExpectedDeaths,SMR
"81274 Saliès, France",81274,2.833333333,COM,Saliès,589,5.393765612,0.525297823
"31536 Saux-et-Pomarède, France",31536,1.333333333,COM,Saux-et-Pomarède,185.0634921,2.53817942,0.525310907
"61352 Rônai, France",61352,1,COM,Rônai,119.380117,1.903394634,0.525377125
"7052 Champis, France",7052,2,COM,Champis,435.7102641,3.805844009,0.525507613
"39255 Gizia, France",39255,3.166666667,COM,Gizia,184.2439798,6.022136461,0.525837747
"78590 Senlisse, France",78590,2.666666667,COM,Senlisse,382.8131213,5.070831518,0.525883508
"23147 Nouzerolles, France",23147,0.666666667,COM,Nouzerolles,92,1.267530265,0.525957198
"7034 Bidon, France",7034,0.833333333,COM,Bidon,141.2578125,1.584314948,0.525989693
"59667 Zermezeele, France",59667,0.5,COM,Zermezeele,148.3183857,0.950324387,0.526136135
"11113 Cucugnan, France",11113,1,COM,Cucugnan,102.5278229,1.900076794,0.526294518
"51479 Saint-Euphraise-et-Clairizet, France",51479,1,COM,Saint-Euphraise-et-Clairizet,162.3819742,1.90007572,0.526294815
"21230 Diénay, France",21230,1.166666667,COM,Diénay,265.2962963,2.215718029,0.526541126
"69124 Marchampt, France",69124,2.666666667,COM,Marchampt,352.1664535,5.064464797,0.526544615
"21311 Grosbois-lès-Tichey, France",21311,0.666666667,COM,Grosbois-lès-Tichey,35.91549296,1.266050188,0.526572069
"21618 Talmay, France",21618,3.5,COM,Talmay,366.2619306,6.646146229,0.526620974
"76356 Hermanville, France",76356,0.666666667,COM,Hermanville,78.67826087,1.265931177,0.526621572
"23237 Saint-Priest-Palus, France",23237,0.5,COM,Saint-Priest-Palus,50,0.949194077,0.526762664
"47273 Saint-Robert, France",47273,1,COM,Saint-Robert,114.7593583,1.898065387,0.52685224
"38444 Saint-Pierre-de-Méaroz, France",38444,0.666666667,COM,Saint-Pierre-de-Méaroz,88.6637931,1.265338988,0.526868035
