Address,CODGEO,ObservedDeaths,NIVGEO,LIBGEO,NB,ExpectedDeaths,SMR
"47138 Laroque-Timbaut, France",47138,15.83333333,COM,Laroque-Timbaut,1214.433612,18.95344878,0.835380068
"3060 Charmeil, France",3060,6.166666667,COM,Charmeil,716.0675144,7.381741621,0.835394543
"57447 Marly, France",57447,89.16666667,COM,Marly,7196,106.7328058,0.835419495
"53133 Lignières-Orgères, France",53133,5.833333333,COM,Lignières-Orgères,518,6.9824101,0.835432644
"39145 Chille, France",39145,2.166666667,COM,Chille,232.8851029,2.593449724,0.835438083
"77296 Moissy-Cramayel, France",77296,54,COM,Moissy-Cramayel,9477.850637,64.63344807,0.835480724
"38006 Allevard, France",38006,35,COM,Allevard,2736.100383,41.89132502,0.835495177
"86194 Poitiers, France",86194,584.6666667,COM,Poitiers,44788.14363,699.7642793,0.835519451
"54194 Fillières, France",54194,3.333333333,COM,Fillières,362.4550602,3.989403237,0.835546856
"23058 Le Chauchet, France",23058,1,COM,Le Chauchet,67.68610174,1.196806428,0.83555701
"70083 Bouligney, France",70083,3.833333333,COM,Bouligney,285.2496682,4.587336802,0.835633724
"27066 Bézu-la-Forêt, France",27066,1.166666667,COM,Bézu-la-Forêt,211.7263844,1.396141346,0.835636499
"68341 Uffheim, France",68341,5.333333333,COM,Uffheim,637.6027814,6.382304281,0.835643852
"2B170 Morsiglia, France",2B170,1.333333333,COM,Morsiglia,87,1.595569873,0.835647098
"55461 Saint-Laurent-sur-Othain, France",55461,3.166666667,COM,Saint-Laurent-sur-Othain,292.3252747,3.789465349,0.835649986
"79202 Parthenay, France",79202,125,COM,Parthenay,7241.606038,149.5824691,0.835659424
"22309 Saint-Launeuc, France",22309,1.666666667,COM,Saint-Launeuc,137.0769231,1.994370998,0.835685371
"37040 Brizay, France",37040,2.166666667,COM,Brizay,184.1145038,2.5925986,0.835712349
"54030 Autrepierre, France",54030,1,COM,Autrepierre,50,1.196543691,0.835740481
"6134 Séranon, France",6134,4.666666667,COM,Séranon,342,5.583785478,0.835753215
"55097 Chalaines, France",55097,2.166666667,COM,Chalaines,209,2.592228656,0.835831616
"46078 Couzou, France",46078,0.833333333,COM,Couzou,63.26086957,0.996978922,0.835858527
"39505 Saugeot, France",39505,0.666666667,COM,Saugeot,43.03448276,0.797579608,0.835862226
"55045 Belrupt-en-Verdunois, France",55045,2.666666667,COM,Belrupt-en-Verdunois,380.4831134,3.190279092,0.835872533
"47326 Virazeil, France",47326,16,COM,Virazeil,1299.910779,19.14128198,0.835889676
"47101 Fourques-sur-Garonne, France",47101,11.16666667,COM,Fourques-sur-Garonne,959.7837518,13.35869672,0.835909887
"89423 Tronchoy, France",89423,1.833333333,COM,Tronchoy,84,2.193210804,0.835912959
"11383 Souilhe, France",11383,1.5,COM,Souilhe,204,1.794441544,0.835914664
"48005 Antrenas, France",48005,2.5,COM,Antrenas,209.1934082,2.990726794,0.835917211
"63355 Saint-Gervais-sous-Meymont, France",63355,2.5,COM,Saint-Gervais-sous-Meymont,200.6376147,2.990665587,0.835934319
"88379 Rehaincourt, France",88379,2.5,COM,Rehaincourt,265.1827702,2.990542698,0.835968669
"42094 Feurs, France",42094,98.16666667,COM,Feurs,5803.732551,117.422394,0.83601316
"33171 Fossès-et-Baleyssac, France",33171,1.333333333,COM,Fossès-et-Baleyssac,157.5,1.594741435,0.8360812
