"IRIS";"P15_POP";"fdep15"
"014180000";1057;-2,2574505414427
"014190000";6161;-2,60368839828779
"014200000";1712;1,59301992818381
"014210000";730;0,258999345022242
"014220000";1370;-0,798821262552021
"014230000";913;-1,52151088140094
"014240000";1674;-1,90412792402459
"014250000";292;-0,170654442492189
"014260000";2572;0,0560634945450409
"014270101";2350;-0,107593488831025
"014270102";4418;0,376302925517647
"014280000";130;0,207794076174535
"014290000";683;-0,0937479993104941
"014300000";535;0,316421752188799
"014310000";1231;-0,250183810026053
"014320000";262;-0,0310068811723052
"014330000";321;2,36295229248123
"014340000";423;-0,929945680975067
"014350000";2183;-2,3120680113426
"014360000";502;-2,56223019756351
"014370000";255;1,03532827353855
"014390000";100;1,47809977369637
"014410000";691;0,530627486595475
"014420000";379;-0,658181270337936
"014430000";4460;-0,0992162159481632
"014440000";1167;1,39762802908734
"014450000";669;-0,135964077083596
"014460000";1461;-0,292072802548763
"014470000";1262;1,36825741900563
"014480000";354;-0,629854984437158
"014490000";728;-0,921873794244916
"014500000";3507;-0,69470344759152
"014510101";1604;-0,582830123440332
"014510102";4677;0,0844074770448394
"014520000";1067;1,53058507854167
"014530000";302;0,935752622960334
"014540000";1064;0,455515779149212
"014560000";71;-1,90983586414104
"014570000";2926;1,0223296244712
"020010000";497;1,95016109613446
"020020000";608;0,58014725945724
"020030000";1011;0,296490055901273
"020040000";182;1,32659393104227
"020050000";398;-0,420544074919274
"020060000";254;1,71154723312084
"020070000";121;0,127668818585803
"020080000";294;0,385060982976796
"020090000";549;0,918142388833237
"020100000";172;2,2013765342714
"020110000";1153;0,214550687884947
"020120000";70;1,75178693900798
"020130000";413;0,726422273277825
"020140000";740;0,194502969801473
"020150000";77;1,79744675415075
"020160000";225;0,616253079822739
"020170000";310;0,392784497361735
"020180000";1956;1,29802798679075
"020190000";372;2,22017001810901
"020200000";457;1,27803737726479
"020210000";87;0,0459699578036577
"020220000";403;0,80049636537076
"020230000";106;-0,234562127232935
"020240000";53;2,05017473846877
"020250000";368;0,715066069688163
